"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 10- 01","519.71","514.80","520.51","511.69","22.63M","0.34%"
"2025- 09- 30","517.95","513.24","518.16","509.66","19.73M","0.65%"
"2025- 09- 29","514.60","511.50","516.84","508.88","17.62M","0.61%"
"2025- 09- 26","511.46","510.06","513.94","506.62","16.21M","0.87%"
"2025- 09- 25","507.03","508.30","510.01","505.04","15.79M","-0.61%"
"2025- 09- 24","510.15","510.38","512.48","506.92","13.53M","0.18%"
"2025- 09- 23","509.23","513.80","514.59","507.31","19.80M","-1.01%"
"2025- 09- 22","514.45","515.59","517.74","512.54","20.01M","-0.67%"
"2025- 09- 19","517.93","510.56","519.30","510.31","52.47M","1.86%"
"2025- 09- 18","508.45","511.49","513.07","507.66","18.91M","-0.31%"
"2025- 09- 17","510.02","510.62","511.29","505.93","15.82M","0.19%"
"2025- 09- 16","509.04","516.88","517.23","508.60","19.71M","-1.23%"
"2025- 09- 15","515.36","508.79","515.47","507.00","17.14M","1.07%"
"2025- 09- 12","509.90","506.65","512.55","503.85","23.62M","1.77%"
"2025- 09- 11","501.01","502.25","503.17","497.88","18.88M","0.13%"
"2025- 09- 10","500.37","502.98","503.23","496.72","21.61M","0.39%"
"2025- 09- 09","498.41","501.43","502.25","497.70","14.41M","0.04%"
"2025- 09- 08","498.20","498.11","501.20","495.03","16.77M","0.65%"
"2025- 09- 05","495.00","509.07","511.97","492.37","31.99M","-2.55%"
"2025- 09- 04","507.97","504.30","508.15","503.15","15.51M","0.52%"
"2025- 09- 03","505.35","503.79","507.79","502.32","16.35M","0.05%"
"2025- 09- 02","505.12","500.46","506.00","496.81","18.13M","-0.31%"
"2025- 08- 29","506.69","508.66","509.60","504.49","20.96M","-0.58%"
"2025- 08- 28","509.64","507.09","511.09","505.50","18.02M","0.57%"
"2025- 08- 27","506.74","502.00","507.29","499.90","17.28M","0.94%"
"2025- 08- 26","502.04","504.36","504.98","498.51","30.84M","-0.44%"
"2025- 08- 25","504.26","506.63","508.19","504.12","21.64M","-0.59%"
"2025- 08- 22","507.23","504.25","510.73","502.41","24.32M","0.59%"
"2025- 08- 21","504.24","503.69","507.63","502.72","18.44M","-0.29%"
"2025- 08- 20","505.72","509.86","511.00","504.44","27.72M","-0.79%"
"2025- 08- 19","509.77","515.00","515.16","508.55","21.48M","-1.42%"
"2025- 08- 18","517.10","521.59","522.82","514.02","23.76M","-0.59%"
"2025- 08- 15","520.17","522.77","526.10","519.08","25.21M","-0.44%"
"2025- 08- 14","522.48","522.56","525.95","520.14","20.27M","0.36%"
"2025- 08- 13","520.58","532.11","532.70","519.37","19.62M","-1.64%"
"2025- 08- 12","529.24","523.75","530.98","522.70","18.69M","1.43%"
"2025- 08- 11","521.77","522.30","527.59","519.72","20.19M","-0.05%"
"2025- 08- 08","522.04","522.60","524.66","519.41","15.53M","0.23%"
"2025- 08- 07","520.84","526.80","528.09","517.55","16.08M","-0.78%"
"2025- 08- 06","524.94","530.90","531.70","524.03","21.36M","-0.53%"
"2025- 08- 05","527.75","537.18","537.30","527.24","19.17M","-1.47%"
"2025- 08- 04","535.64","528.27","538.25","528.13","25.35M","2.20%"
"2025- 08- 01","524.11","535.00","535.80","520.86","28.98M","-1.76%"
"2025- 07- 31","533.50","555.22","555.45","531.90","51.62M","3.95%"
"2025- 07- 30","513.24","515.17","515.95","509.43","26.38M","0.13%"
"2025- 07- 29","512.57","515.53","517.62","511.56","16.47M","0.01%"
"2025- 07- 28","512.50","514.08","515.00","510.12","14.31M","-0.24%"
"2025- 07- 25","513.71","512.47","518.29","510.36","19.13M","0.55%"
"2025- 07- 24","510.88","508.77","513.67","507.30","16.11M","0.99%"
"2025- 07- 23","505.87","506.75","506.79","500.70","16.40M","0.12%"
"2025- 07- 22","505.27","510.97","511.20","505.27","13.87M","-0.94%"
"2025- 07- 21","510.06","506.70","512.09","505.55","14.07M","0.00%"
"2025- 07- 18","510.05","514.48","514.64","507.43","21.21M","-0.32%"
"2025- 07- 17","511.70","505.68","513.37","505.62","17.50M","1.20%"
"2025- 07- 16","505.62","505.18","506.72","501.89","15.15M","-0.04%"
"2025- 07- 15","505.82","503.02","508.30","502.79","14.93M","0.56%"
"2025- 07- 14","503.02","501.52","503.97","501.03","12.06M","-0.06%"
"2025- 07- 11","503.32","498.47","505.03","497.80","16.46M","0.37%"
"2025- 07- 10","501.48","503.05","504.44","497.75","16.50M","-0.40%"
"2025- 07- 09","503.51","500.30","506.78","499.74","18.66M","1.39%"
"2025- 07- 08","496.62","497.24","498.20","494.11","11.85M","-0.22%"
"2025- 07- 07","497.72","497.38","498.75","495.23","13.98M","-0.22%"
"2025- 07- 03","498.84","493.81","500.13","493.44","13.98M","1.58%"
"2025- 07- 02","491.09","489.99","493.50","488.70","16.32M","-0.20%"
"2025- 07- 01","492.05","496.47","498.05","490.98","19.95M","-1.08%"
"2025- 06- 30","497.41","497.04","500.76","495.33","28.37M","0.30%"
"2025- 06- 27","495.94","497.55","499.30","493.03","34.54M","-0.30%"
"2025- 06- 26","497.45","492.98","498.04","492.81","21.58M","1.05%"
"2025- 06- 25","492.27","492.04","494.56","489.39","17.50M","0.44%"
"2025- 06- 24","490.11","488.95","491.85","486.80","22.31M","0.85%"
"2025- 06- 23","486.00","478.21","487.75","472.51","24.86M","1.80%"
"2025- 06- 20","477.40","482.23","483.46","476.87","37.58M","-0.59%"
"2025- 06- 18","480.24","478.00","481.00","474.46","17.53M","0.46%"
"2025- 06- 17","478.04","475.39","478.74","474.08","15.41M","-0.23%"
"2025- 06- 16","479.14","475.21","480.69","475.00","15.63M","0.88%"
"2025- 06- 13","474.96","476.41","479.18","472.76","16.81M","-0.82%"
"2025- 06- 12","478.87","475.02","480.42","473.52","18.95M","1.32%"
"2025- 06- 11","472.62","470.02","475.47","469.65","16.40M","0.36%"
"2025- 06- 10","470.92","471.18","472.80","466.96","15.38M","-0.39%"
"2025- 06- 09","472.75","469.70","473.43","468.62","16.47M","0.50%"
"2025- 06- 06","470.38","470.08","473.33","468.78","15.29M","0.58%"
"2025- 06- 05","467.68","464.95","469.65","464.03","20.15M","0.82%"
"2025- 06- 04","463.87","464.00","465.69","463.02","14.16M","0.19%"
"2025- 06- 03","462.97","461.47","464.14","460.86","15.74M","0.22%"
"2025- 06- 02","461.97","457.14","462.11","456.89","16.63M","0.35%"
"2025- 05- 30","460.36","459.71","461.68","455.54","34.77M","0.37%"
"2025- 05- 29","458.68","461.55","461.72","455.31","13.98M","0.29%"
"2025- 05- 28","457.36","461.22","462.52","456.93","17.09M","-0.72%"
"2025- 05- 27","460.69","456.48","460.95","456.11","20.97M","2.33%"
"2025- 05- 23","450.18","449.98","453.69","448.91","16.88M","-1.03%"
"2025- 05- 22","454.86","454.95","460.25","453.90","18.03M","0.51%"
"2025- 05- 21","452.57","454.57","457.78","451.81","19.22M","-1.22%"
"2025- 05- 20","458.17","455.59","458.34","454.32","15.44M","-0.15%"
"2025- 05- 19","458.87","450.88","459.58","450.80","21.34M","1.01%"
"2025- 05- 16","454.27","452.05","454.36","448.73","23.85M","0.25%"
"2025- 05- 15","453.13","450.77","456.19","450.43","21.99M","0.04%"
"2025- 05- 14","452.94","448.14","453.90","448.14","19.90M","0.85%"
"2025- 05- 13","449.14","447.78","450.67","445.36","23.62M","-0.03%"
"2025- 05- 12","449.26","445.94","449.37","439.78","22.82M","2.40%"
"2025- 05- 09","438.73","440.00","440.74","435.88","15.32M","0.13%"
"2025- 05- 08","438.17","437.93","443.67","435.66","23.49M","1.11%"
"2025- 05- 07","433.35","433.84","438.12","431.11","23.31M","0.01%"
"2025- 05- 06","433.31","432.20","437.73","431.17","15.10M","-0.66%"
"2025- 05- 05","436.17","432.87","439.50","432.11","20.14M","0.20%"
"2025- 05- 02","435.28","431.74","439.44","429.98","30.76M","2.32%"
"2025- 05- 01","425.40","431.11","436.99","424.90","58.94M","7.63%"
"2025- 04- 30","395.26","390.30","396.66","384.44","36.46M","0.31%"
"2025- 04- 29","394.04","391.30","395.10","390.38","14.97M","0.74%"
"2025- 04- 28","391.16","391.95","392.74","386.64","16.58M","-0.18%"
"2025- 04- 25","391.85","387.00","392.16","384.60","18.97M","1.17%"
"2025- 04- 24","387.30","375.70","388.45","375.19","22.23M","3.45%"
"2025- 04- 23","374.39","376.06","380.39","373.02","20.55M","2.06%"
"2025- 04- 22","366.82","363.38","367.77","359.86","19.48M","2.14%"
"2025- 04- 21","359.12","362.82","364.48","355.67","20.81M","-2.35%"
"2025- 04- 17","367.78","373.74","374.32","366.89","21.12M","-1.03%"
"2025- 04- 16","371.61","380.67","381.61","368.00","21.97M","-3.66%"
"2025- 04- 15","385.73","388.51","391.89","384.16","17.20M","-0.54%"
"2025- 04- 14","387.81","393.22","394.65","384.21","19.25M","-0.16%"
"2025- 04- 11","388.45","380.64","390.05","378.89","23.84M","1.86%"
"2025- 04- 10","381.35","382.06","383.90","367.80","38.02M","-2.34%"
"2025- 04- 09","390.49","353.54","393.23","353.10","50.20M","10.13%"
"2025- 04- 08","354.56","368.26","373.65","350.25","35.87M","-0.92%"
"2025- 04- 07","357.86","350.88","371.00","344.79","50.43M","-0.55%"
"2025- 04- 04","359.84","364.13","374.59","359.48","49.21M","-3.56%"
"2025- 04- 03","373.11","374.79","377.48","369.35","30.20M","-2.36%"
"2025- 04- 02","382.14","377.96","385.08","376.62","16.09M","-0.01%"
"2025- 04- 01","382.19","374.65","382.85","373.23","19.69M","1.81%"
"2025- 03- 31","375.39","372.54","377.07","367.24","35.18M","-0.90%"
"2025- 03- 28","378.80","388.08","389.13","376.93","21.63M","-3.02%"
"2025- 03- 27","390.58","390.13","392.24","387.39","13.77M","0.16%"
"2025- 03- 26","389.97","395.00","395.31","388.57","16.13M","-1.31%"
"2025- 03- 25","395.16","393.92","396.36","392.64","15.77M","0.53%"
"2025- 03- 24","393.08","395.40","395.40","389.81","21.00M","0.47%"
"2025- 03- 21","391.26","383.21","391.74","382.80","39.68M","1.14%"
"2025- 03- 20","386.84","385.73","391.79","383.28","18.47M","-0.25%"
"2025- 03- 19","387.82","385.52","389.68","384.00","19.19M","1.12%"
"2025- 03- 18","383.52","387.07","387.37","381.10","19.49M","-1.33%"
"2025- 03- 17","388.70","386.70","392.70","385.57","22.47M","0.04%"
"2025- 03- 14","388.56","379.77","390.23","379.51","19.95M","2.58%"
"2025- 03- 13","378.77","383.15","385.32","377.45","20.47M","-1.17%"
"2025- 03- 12","383.27","382.95","385.22","378.95","24.25M","0.74%"
"2025- 03- 11","380.45","379.00","386.00","376.91","30.38M","0.08%"
"2025- 03- 10","380.16","385.84","386.40","377.22","32.84M","-3.34%"
"2025- 03- 07","393.31","392.32","394.80","385.54","22.03M","-0.90%"
"2025- 03- 06","396.89","394.28","402.15","392.68","23.30M","-1.03%"
"2025- 03- 05","401.02","389.34","401.67","388.81","23.43M","3.19%"
"2025- 03- 04","388.61","383.40","392.58","381.00","29.34M","0.03%"
"2025- 03- 03","388.49","398.82","398.82","386.15","23.01M","-2.14%"
"2025- 02- 28","396.99","392.65","397.63","386.57","32.85M","1.14%"
"2025- 02- 27","392.53","401.27","405.74","392.17","21.13M","-1.80%"
"2025- 02- 26","399.73","398.01","403.60","394.24","19.62M","0.46%"
"2025- 02- 25","397.90","401.10","401.92","396.70","29.39M","-1.51%"
"2025- 02- 24","404.00","408.51","409.37","399.32","26.44M","-1.03%"
"2025- 02- 21","408.21","417.33","418.05","407.89","27.52M","-1.90%"
"2025- 02- 20","416.13","415.29","419.31","412.54","23.51M","0.33%"
"2025- 02- 19","414.77","407.88","415.49","407.65","24.11M","1.25%"
"2025- 02- 18","409.64","408.00","410.60","406.50","21.42M","0.30%"
"2025- 02- 14","408.43","407.79","408.91","405.88","22.76M","-0.51%"
"2025- 02- 13","410.54","407.00","411.00","406.36","23.89M","0.37%"
"2025- 02- 12","409.04","407.21","410.75","404.37","19.12M","-0.58%"
"2025- 02- 11","411.44","409.64","412.49","409.30","18.14M","-0.19%"
"2025- 02- 10","412.22","413.71","415.46","410.92","20.82M","0.60%"
"2025- 02- 07","409.75","416.48","418.65","408.10","22.89M","-1.46%"
"2025- 02- 06","415.82","414.00","418.20","414.00","16.31M","0.61%"
"2025- 02- 05","413.29","412.35","413.83","410.40","16.34M","0.22%"
"2025- 02- 04","412.37","412.68","413.92","409.74","20.53M","0.35%"
"2025- 02- 03","410.92","411.60","415.41","408.66","25.68M","-1.00%"
"2025- 01- 31","415.06","418.98","420.69","414.91","34.22M","0.02%"
"2025- 01- 30","414.99","418.77","422.86","413.16","54.59M","-6.18%"
"2025- 01- 29","442.33","446.69","446.88","440.40","23.58M","-1.09%"
"2025- 01- 28","447.20","434.60","448.38","431.38","23.49M","2.91%"
"2025- 01- 27","434.56","424.01","435.20","423.50","35.65M","-2.14%"
"2025- 01- 24","444.06","445.16","446.65","441.40","15.55M","-0.59%"
"2025- 01- 23","446.71","442.00","446.75","441.50","18.39M","0.11%"
"2025- 01- 22","446.20","437.56","447.27","436.00","27.80M","4.13%"
"2025- 01- 21","428.50","430.20","430.90","425.60","26.09M","-0.12%"
"2025- 01- 17","429.03","434.08","434.48","428.17","26.20M","1.05%"
"2025- 01- 16","424.58","428.70","429.49","424.39","15.30M","-0.41%"
"2025- 01- 15","426.31","419.13","428.15","418.27","19.64M","2.56%"
"2025- 01- 14","415.67","417.81","419.74","410.72","16.94M","-0.36%"
"2025- 01- 13","417.19","415.23","418.50","412.29","17.60M","-0.42%"
"2025- 01- 10","418.95","424.63","424.71","415.02","20.20M","-1.32%"
"2025- 01- 08","424.56","423.46","426.97","421.54","15.05M","0.52%"
"2025- 01- 07","422.37","429.00","430.65","420.80","18.14M","-1.28%"
"2025- 01- 06","427.85","428.00","434.32","425.48","20.57M","1.06%"
"2025- 01- 03","423.35","421.08","424.03","419.54","16.66M","1.14%"
"2025- 01- 02","418.58","425.53","426.07","414.85","16.90M","-0.69%"
"2024- 12- 31","421.50","426.10","426.73","420.66","13.25M","-0.78%"
"2024- 12- 30","424.83","426.06","427.55","421.90","13.16M","-1.32%"
"2024- 12- 27","430.53","434.60","435.22","426.35","18.12M","-1.73%"
"2024- 12- 26","438.11","439.08","440.94","436.63","8.20M","-0.28%"
"2024- 12- 24","439.33","434.65","439.60","434.19","7.16M","0.94%"
"2024- 12- 23","435.25","436.74","437.65","432.83","19.15M","-0.31%"
"2024- 12- 20","436.60","433.11","443.74","428.63","64.26M","-0.10%"
"2024- 12- 19","437.03","441.62","443.18","436.32","22.96M","-0.08%"
"2024- 12- 18","437.39","451.32","452.65","437.02","24.44M","-3.76%"
"2024- 12- 17","454.46","451.01","455.29","449.57","22.73M","0.64%"
"2024- 12- 16","451.59","447.27","452.18","445.28","23.60M","0.97%"
"2024- 12- 13","447.27","448.43","451.43","445.58","20.18M","-0.51%"
"2024- 12- 12","449.56","449.11","456.16","449.11","20.83M","0.13%"
"2024- 12- 11","448.99","444.05","450.35","444.05","19.20M","1.28%"
"2024- 12- 10","443.33","444.39","449.62","441.60","18.47M","-0.60%"
"2024- 12- 09","446.02","442.60","448.33","440.50","19.14M","0.55%"
"2024- 12- 06","443.57","442.30","446.10","441.77","18.82M","0.21%"
"2024- 12- 05","442.62","437.92","444.66","436.17","21.70M","1.19%"
"2024- 12- 04","437.42","433.03","439.67","432.63","26.01M","1.44%"
"2024- 12- 03","431.20","429.84","432.47","427.74","18.30M","0.05%"
"2024- 12- 02","430.98","421.57","433.00","421.31","20.21M","1.78%"
"2024- 11- 29","423.46","420.09","424.88","417.80","16.27M","0.11%"
"2024- 11- 27","422.99","425.11","427.23","422.02","18.33M","-1.17%"
"2024- 11- 26","427.99","419.58","429.04","418.85","23.46M","2.20%"
"2024- 11- 25","418.79","418.38","421.08","414.85","27.69M","0.43%"
"2024- 11- 22","417.00","411.36","417.40","411.06","24.81M","1.00%"
"2024- 11- 21","412.87","419.50","419.78","410.29","20.78M","-0.63%"
"2024- 11- 20","415.49","416.87","417.29","410.58","19.19M","-0.55%"
"2024- 11- 19","417.79","413.11","417.94","411.55","18.13M","0.49%"
"2024- 11- 18","415.76","414.87","418.40","412.10","24.74M","0.18%"
"2024- 11- 15","415.00","419.82","422.80","413.64","28.25M","-2.79%"
"2024- 11- 14","426.89","425.00","428.17","420.00","30.25M","0.40%"
"2024- 11- 13","425.20","421.64","429.33","418.21","21.50M","0.51%"
"2024- 11- 12","423.03","418.25","424.44","417.20","19.40M","1.20%"
"2024- 11- 11","418.01","422.52","424.81","416.00","24.50M","-1.07%"
"2024- 11- 08","422.54","425.32","426.50","421.78","16.89M","-0.68%"
"2024- 11- 07","425.43","421.28","426.85","419.88","19.90M","1.25%"
"2024- 11- 06","420.18","412.42","420.45","410.52","26.68M","2.12%"
"2024- 11- 05","411.46","408.37","414.90","408.08","17.63M","0.73%"
"2024- 11- 04","408.46","409.80","410.42","405.57","19.67M","-0.47%"
"2024- 11- 01","410.37","409.01","415.50","407.50","24.23M","0.99%"
"2024- 10- 31","406.35","415.36","416.16","406.30","53.97M","-6.05%"
"2024- 10- 30","432.53","437.43","438.50","432.10","29.75M","0.13%"
"2024- 10- 29","431.95","428.00","433.17","425.80","17.64M","1.26%"
"2024- 10- 28","426.59","431.65","431.94","426.30","14.88M","-0.36%"
"2024- 10- 25","428.15","426.76","432.52","426.57","16.90M","0.81%"
"2024- 10- 24","424.73","425.33","425.98","422.40","13.58M","0.03%"
"2024- 10- 23","424.60","430.86","431.08","422.53","19.65M","-0.68%"
"2024- 10- 22","427.51","418.49","430.58","418.04","25.48M","2.08%"
"2024- 10- 21","418.78","416.12","418.96","413.75","14.21M","0.15%"
"2024- 10- 18","418.16","417.14","419.65","416.26","17.15M","0.35%"
"2024- 10- 17","416.72","422.36","422.50","415.59","14.82M","0.14%"
"2024- 10- 16","416.12","415.17","416.36","410.48","15.51M","-0.63%"
"2024- 10- 15","418.74","422.18","422.48","415.26","18.90M","-0.10%"
"2024- 10- 14","419.14","417.77","424.04","417.52","16.65M","0.68%"
"2024- 10- 11","416.32","416.14","417.13","413.25","14.14M","0.12%"
"2024- 10- 10","415.84","415.23","417.35","413.15","13.85M","-0.39%"
"2024- 10- 09","417.46","415.86","420.38","414.30","14.97M","0.66%"
"2024- 10- 08","414.71","410.90","415.66","408.17","19.23M","1.26%"
"2024- 10- 07","409.54","416.00","417.11","409.00","20.92M","-1.57%"
"2024- 10- 04","416.06","418.24","419.75","414.97","19.19M","-0.12%"
"2024- 10- 03","416.54","417.63","419.55","414.29","13.69M","-0.14%"
"2024- 10- 02","417.13","422.58","422.82","416.71","16.58M","-0.85%"
"2024- 10- 01","420.69","428.45","428.48","418.81","19.09M","-2.23%"